Ad group performance
All time
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Ad group 1,Website traffic-Search-ENG,Enabled,Enabled,Search,All features, --, --,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,1,0,10,0,"9,068","202,736",4.47%,EUR,0.05,470.47,21.59%,59.80%,0.00,0,0,0.00%
Ad group 1,Website traffic-Search-GR,Enabled,Enabled,Search,All features, --,gr-top,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,1,0,17,0,"3,251","16,621",19.56%,EUR,0.20,648.57,63.23%,74.47%,0.00,0,0,0.00%
