Campaign performance
25 June 2024 - 24 July 2024
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Website traffic-Search-ENG,Enabled,Search,"3,592","73,531",4.89%,EUR,0.04,145.47,19.31%,57.59%,0.00,0,0,0.00%
Website traffic-Search-GR,Enabled,Search,"1,653","5,922",27.91%,EUR,0.19,309.97,64.18%,74.09%,0.00,0,0,0.00%
